City,State,Postal Code,Region,Country,Customer ID
Henderson,Kentucky,42420,South,United States,CG-12520
Los Angeles,California,90036,West,United States,DV-13045
Fort Lauderdale,Florida,33311,South,United States,SO-20335
Los Angeles,California,90032,West,United States,BH-11710
Concord,North Carolina,28027,South,United States,AA-10480
Seattle,Washington,98103,West,United States,IM-15070
Fort Worth,Texas,76106,Central,United States,HP-14815
Madison,Wisconsin,53711,Central,United States,PK-19075
West Jordan,Utah,84084,West,United States,AG-10270
San Francisco,California,94109,West,United States,ZD-21925
Fremont,Nebraska,68025,Central,United States,KB-16585
Philadelphia,Pennsylvania,19140,East,United States,SF-20065
Orem,Utah,84057,West,United States,EB-13870
Los Angeles,California,90049,West,United States,EH-13945
Philadelphia,Pennsylvania,19140,East,United States,TB-21520
Houston,Texas,77095,Central,United States,MA-17560
Richardson,Texas,75080,Central,United States,GH-14485
Houston,Texas,77041,Central,United States,SN-20710
Naperville,Illinois,60540,Central,United States,LC-16930
Los Angeles,California,90049,West,United States,RA-19885
Melbourne,Florida,32935,South,United States,ES-14080
Eagan,Minnesota,55122,Central,United States,ON-18715
Westland,Michigan,48185,Central,United States,PO-18865
Dover,Delaware,19901,East,United States,LH-16900
New Albany,Indiana,47150,Central,United States,DP-13000
New York City,New York,10024,East,United States,JM-15265
Troy,New York,12180,East,United States,TB-21055
Los Angeles,California,90004,West,United States,KM-16720
Chicago,Illinois,60610,Central,United States,PS-18970
Gilbert,Arizona,85234,West,United States,BS-11590
Springfield,Virginia,22153,South,United States,KD-16270
New York City,New York,10009,East,United States,HM-14980
Jackson,Michigan,49201,Central,United States,TB-21520
Memphis,Tennessee,38109,South,United States,JE-15745
Houston,Texas,77041,Central,United States,KB-16600
Houston,Texas,77070,Central,United States,JE-15745
Decatur,Alabama,35601,South,United States,SC-20770
San Francisco,California,94122,West,United States,DN-13690
Durham,North Carolina,27707,South,United States,JC-16105
Chicago,Illinois,60623,Central,United States,CS-12400
Columbia,South Carolina,29203,South,United States,PO-18865
Rochester,Minnesota,55901,Central,United States,PG-18895
Houston,Texas,77095,Central,United States,GM-14455
Los Angeles,California,90036,West,United States,JS-15685
Minneapolis,Minnesota,55407,Central,United States,KB-16315
Portland,Oregon,97206,West,United States,RB-19705
New York City,New York,10009,East,United States,PN-18775
San Francisco,California,94122,West,United States,KD-16345
Saint Paul,Minnesota,55106,Central,United States,ER-13855
Chicago,Illinois,60610,Central,United States,RB-19465
Rochester,Minnesota,55901,Central,United States,GZ-14470
Aurora,Colorado,80013,West,United States,LC-16870
Charlotte,North Carolina,28205,South,United States,JM-15250
Orland Park,Illinois,60462,Central,United States,PA-19060
New York City,New York,10035,East,United States,CV-12805
Urbandale,Iowa,50322,Central,United States,CL-12565
Columbus,Ohio,43229,East,United States,RC-19960
Seattle,Washington,98103,West,United States,DK-13090
Bristol,Tennessee,37620,South,United States,GG-14650
Wilmington,Delaware,19805,East,United States,SC-20725
Houston,Texas,77041,Central,United States,AD-10180
Bloomington,Illinois,61701,Central,United States,PF-19165
Phoenix,Arizona,85023,West,United States,TS-21610
Los Angeles,California,90004,West,United States,LS-16975
Columbus,Ohio,43229,East,United States,DW-13585
Roseville,California,95661,West,United States,LC-16885
Philadelphia,Pennsylvania,19140,East,United States,JD-15895
San Francisco,California,94122,West,United States,SH-19975
Independence,Missouri,64055,Central,United States,SG-20080
Pasadena,California,91104,West,United States,HA-14920
Newark,Ohio,43055,East,United States,MG-17680
Franklin,Wisconsin,53132,Central,United States,JE-16165
Scottsdale,Arizona,85254,West,United States,TW-21025
San Jose,California,95123,West,United States,SP-20650
