Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Postal Code
US-2017-102288,19/6/17,23/6/17,Standard Class,ZC-21910,77095
CA-2017-124114,2/3/17,2/3/17,Same Day,RS-19765,76706
CA-2016-168361,21/6/16,25/6/16,Standard Class,KB-16600,60623
CA-2014-112403,31/3/14,31/3/14,Same Day,JO-15280,19120
US-2014-152723,26/9/14,26/9/14,Same Day,HG-14965,75150
CA-2014-103492,10/10/14,15/10/14,Standard Class,CM-12715,77340
CA-2015-119690,25/6/15,28/6/15,First Class,MV-17485,77041
CA-2017-126536,12/10/17,14/10/17,First Class,NK-18490,94110
CA-2014-129189,21/7/14,25/7/14,Standard Class,HM-14860,75217
CA-2014-122567,16/2/14,21/2/14,Standard Class,MN-17935,75220
US-2017-100209,9/7/17,15/7/17,Standard Class,TD-20995,97206
CA-2015-106978,28/9/15,4/10/15,Standard Class,ZC-21910,80013
CA-2015-146829,10/3/15,10/3/15,Same Day,TS-21340,77041
CA-2014-112718,16/12/14,21/12/14,Standard Class,KN-16450,32216
CA-2017-164042,23/5/17,27/5/17,Standard Class,KL-16645,77095
CA-2017-149489,24/4/17,27/4/17,First Class,DK-12835,19143
US-2017-162068,28/12/17,31/12/17,Second Class,PC-18745,80538
US-2016-110156,19/11/16,24/11/16,Standard Class,EH-13945,77041
CA-2014-165309,11/11/14,15/11/14,Standard Class,KD-16270,77095
CA-2015-102015,12/9/15,18/9/15,Standard Class,TM-21010,13021
US-2017-118038,9/12/17,11/12/17,First Class,KB-16600,77041
CA-2017-106691,6/11/17,12/11/17,Standard Class,CC-12370,77070
CA-2016-159373,13/3/16,18/3/16,Standard Class,LT-17110,78207
CA-2016-169922,11/6/16,17/6/16,Standard Class,MZ-17515,76017
CA-2016-163153,21/3/16,25/3/16,Standard Class,DM-12955,77036
CA-2014-143168,18/10/14,23/10/14,Second Class,IG-15085,98103
CA-2014-154158,23/12/14,27/12/14,Second Class,CC-12670,33614
CA-2015-112214,5/8/15,11/8/15,Standard Class,AH-10690,75220
CA-2014-169257,6/6/14,12/6/14,Standard Class,SV-20785,32216
CA-2017-165099,11/12/17,13/12/17,First Class,DK-13375,79605
CA-2017-121160,4/11/17,4/11/17,Same Day,FM-14290,77803
CA-2016-114748,9/10/16,14/10/16,Standard Class,MZ-17335,85023
CA-2017-129378,1/10/17,2/10/17,First Class,NS-18505,95123
CA-2015-161263,16/4/15,21/4/15,Standard Class,TS-21160,43615
CA-2014-159310,7/11/14,12/11/14,Standard Class,SC-20725,77070
US-2015-163433,18/4/15,22/4/15,Second Class,MP-17965,78501
CA-2016-132409,26/5/16,1/6/16,Standard Class,TH-21235,19134
CA-2016-120824,12/6/16,16/6/16,Second Class,AW-10930,77070
US-2017-160836,11/9/17,16/9/17,Standard Class,CC-12475,77070
CA-2017-128363,13/8/17,18/8/17,Standard Class,DC-12850,38109
US-2017-150595,22/5/17,26/5/17,Standard Class,LE-16810,60653
US-2017-155299,8/6/17,12/6/17,Standard Class,Dl-13600,77506
US-2014-168501,21/11/14,27/11/14,Standard Class,JK-15325,75220
CA-2017-117702,28/11/17,4/12/17,Standard Class,LS-16975,21215
CA-2017-119193,22/12/17,24/12/17,First Class,SK-19990,43615
CA-2017-163860,28/12/17,1/1/18,Standard Class,LO-17170,61604
CA-2016-111682,17/6/16,18/6/16,First Class,TB-21055,12180
CA-2015-107083,21/11/15,27/11/15,Standard Class,BB-11545,76106
CA-2015-150413,19/10/15,24/10/15,Second Class,CS-11860,75220
CA-2016-168032,30/1/16,3/2/16,Standard Class,DF-13135,61107
